iter	Passed	Remaining
696	1569	682
697	1571	680
698	1573	677
699	1575	675
700	1577	673
701	1579	670
702	1582	668
703	1584	666
704	1586	663
705	1588	661
706	1590	659
707	1592	656
708	1595	654
709	1597	652
710	1600	650
711	1602	648
712	1604	645
713	1607	643
714	1609	641
715	1612	639
716	1614	637
717	1616	635
718	1618	632
719	1621	630
720	1623	628
721	1625	625
722	1627	623
723	1629	621
724	1631	618
725	1632	616
726	1634	613
727	1636	611
728	1638	609
729	1640	606
730	1642	604
731	1644	601
732	1645	599
733	1647	597
734	1649	594
735	1651	592
736	1653	590
737	1655	587
738	1657	585
739	1659	583
740	1661	580
741	1663	578
742	1665	575
743	1666	573
744	1668	571
745	1670	568
746	1672	566
747	1674	564
748	1676	561
749	1678	559
750	1680	557
751	1682	554
752	1684	552
753	1687	550
754	1689	548
755	1691	545
756	1693	543
757	1695	541
758	1697	538
759	1699	536
760	1701	534
761	1703	532
762	1705	529
763	1707	527
764	1709	525
765	1711	522
766	1713	520
767	1715	518
768	1717	515
769	1719	513
770	1721	511
771	1723	508
772	1725	506
773	1726	504
774	1728	501
775	1730	499
776	1732	497
777	1735	495
778	1737	492
779	1739	490
780	1741	488
781	1743	486
782	1745	483
783	1747	481
784	1749	479
785	1751	476
786	1754	474
787	1756	472
788	1758	470
789	1761	468
790	1763	466
791	1765	463
792	1767	461
793	1770	459
794	1772	457
795	1774	454
796	1776	452
797	1778	450
798	1780	447
799	1782	445
800	1784	443
801	1786	441
802	1788	438
803	1790	436
804	1792	434
805	1794	431
806	1796	429
807	1798	427
808	1801	425
809	1803	422
810	1805	420
811	1807	418
812	1808	416
813	1811	413
814	1812	411
815	1814	409
816	1816	406
817	1818	404
818	1820	402
819	1822	400
820	1824	397
821	1826	395
822	1828	393
823	1830	390
824	1832	388
825	1834	386
826	1836	384
827	1837	381
828	1839	379
829	1841	377
830	1843	374
831	1845	372
832	1847	370
833	1849	368
834	1851	365
835	1853	363
836	1855	361
837	1857	359
838	1859	356
839	1861	354
840	1862	352
841	1864	349
842	1866	347
843	1868	345
844	1870	343
845	1872	340
846	1874	338
847	1876	336
848	1878	334
849	1880	331
850	1882	329
851	1883	327
852	1885	324
853	1887	322
854	1889	320
855	1891	318
856	1893	315
857	1895	313
858	1897	311
859	1899	309
860	1901	306
861	1904	304
862	1906	302
863	1909	300
864	1911	298
865	1913	296
866	1915	293
867	1918	291
868	1920	289
869	1922	287
870	1924	285
871	1926	282
872	1928	280
873	1930	278
874	1932	276
875	1935	273
876	1937	271
877	1939	269
878	1941	267
879	1942	264
880	1944	262
881	1946	260
882	1948	258
883	1950	255
884	1952	253
885	1954	251
886	1956	249
887	1958	247
888	1960	244
889	1962	242
890	1964	240
891	1966	238
892	1968	235
893	1969	233
894	1971	231
895	1973	229
896	1976	226
897	1978	224
898	1980	222
899	1982	220
900	1984	218
901	1986	215
902	1988	213
903	1990	211
904	1992	209
905	1994	206
906	1996	204
907	1998	202
908	2000	200
909	2002	198
910	2004	195
911	2006	193
912	2008	191
913	2010	189
914	2012	186
915	2014	184
916	2016	182
917	2018	180
918	2020	178
919	2022	175
920	2024	173
921	2026	171
922	2028	169
923	2030	166
924	2032	164
925	2034	162
926	2036	160
927	2038	158
928	2040	155
929	2042	153
930	2044	151
931	2046	149
932	2048	147
933	2050	144
934	2052	142
